,ts,x,y,z,i,j,k,w
0,0,-2.862295072259289e-05,-4.37358914605002e-06,0.24998711427615264,4.594372896501507e-05,0.0005443649958370667,-3.3962288942427816e-05,0.9999998502012328
1,1,-5.399730564145898e-05,-8.249222623515497e-06,0.2497045293136181,8.746101326028082e-05,0.001028458481682024,-6.504847353236858e-05,0.9999994651960664
2,2,-7.653126235220313e-05,-1.1690804014148973e-05,0.2491549348322473,0.0001248195679474725,0.001459300288422653,-9.34198602165866e-05,0.9999989230671568
3,3,-9.657336194274997e-05,-1.475616390207418e-05,0.2483407451731208,0.00015823374733125775,0.0018430530559267035,-0.00011926327979818645,0.9999982819454164
4,4,-0.00011442500289085508,-1.7482837950323827e-05,0.24726412120950456,0.0001883279787883457,0.0021851286844532213,-0.00014277979923908276,0.99999758467665
5,5,-0.00013034519589954293,-1.9910322102776852e-05,0.2459270002823905,0.00021543417990124185,0.002490278615677487,-0.0001641526623964449,0.9999968625722953
6,6,-0.0001445583574078621,-2.2073216903571977e-05,0.2443311196455374,0.00023985027460053003,0.002762679206423125,-0.0001835563621325914,0.9999961381837984
7,7,-0.00015725969785335776,-2.4001860171955876e-05,0.2424780388800692,0.0002618440937934182,0.003006005059982181,-0.00020115565991061767,0.9999954274433712
8,8,-0.00016861963666865045,-2.572288355592622e-05,0.2403691601226489,0.00028165655193786995,0.003223492947134329,-0.00021710506544649373,0.9999947413002716
9,9,-0.00017878744015782959,-2.7259694435974336e-05,0.2380057461956049,0.0002995044453045765,0.003417997375234616,-0.0002315486559168616,0.9999940869706432
10,10,-0.00018789516711272342,-2.862732911578307e-05,0.2353889380813943,0.0003157715979027775,0.003592043967988914,-0.00024464348591508915,0.9999934688076692
11,11,-0.00019605720802382063,-2.985058070333652e-05,0.23251976513198186,0.000330406944471612,0.0037478548885011374,-0.0002564854339099516,0.9999928892898228
12,12,-0.00020337556848309816,-3.0945314060555905e-05,0.22939916228394516,0.00034357458963847246,0.003887402623271488,-0.00026718896697480293,0.9999923493044344
13,13,-0.00020994050488630059,-3.1925548094964254e-05,0.2260279797391574,0.00035542202176592564,0.0040124351887710795,-0.0002768592039018105,0.9999918486607896
14,14,-0.0002158320296556065,-3.2803684170807394e-05,0.22240699295548064,0.0003660819076775774,0.004124503461019282,-0.00028559245968151745,0.999991386408995
15,15,-0.0002211198392967271,-3.359771681378617e-05,0.2185369124763838,0.0003754603984214168,0.004224980443478552,-0.0002934672251630768,0.9999909611825144
16,16,-0.00022586872770441973,-3.430903755011293e-05,0.21441838855450804,0.00038392001482964646,0.0043150961664256225,-0.00030057532749249604,0.999990571058032
17,17,-0.0002301349345023167,-3.4946457385077906e-05,0.21005202145803234,0.00039155181725405373,0.004395940578744186,-0.000306989673323826,0.9999902140275888
18,18,-0.00023396859376199696,-3.551783565808973e-05,0.2054383663801582,0.0003984371133460223,0.004468484626325178,-0.00031277663306809617,0.999989887980768
19,19,-0.00023741444913872442,-3.603016339355877e-05,0.200577938835366,0.00040464923248012633,0.004533594003348104,-0.00031799652342135283,0.9999895907771352
20,20,-0.00024051247034894321,-3.648966459919467e-05,0.1954712194518252,0.0004102543124071463,0.0045920411855448215,-0.00032270409947549164,0.9999893202985788
21,21,-0.00024329839173417862,-3.690188503514e-05,0.1901186582198218,0.0004153120035204551,0.004644515984854829,-0.00032694901978179414,0.9999890744860888
22,22,-0.00027936773102891496,-9.630648306724717e-06,0.19049712643128372,0.0005442949875386398,0.004253266593421015,-0.00033859632394063244,0.9999907493666036
23,23,-0.0002994937879637167,1.87044691488318e-05,0.19084013510686976,0.0006604566204641811,0.003911848660763815,-0.0003394072807232212,0.999992072988484
24,24,-0.00032022775830837125,4.774379288230463e-05,0.19115093697337734,0.0007679734851669853,0.003598001565198843,-0.00034018570828996835,0.9999931744142792
25,25,-0.00034147201752605217,7.749628470681386e-05,0.19143263642824465,0.000867449972703772,0.00330927299777627,-0.00034091965534204936,0.9999940899908156
26,26,-0.0003629591419439011,0.00010796845459049076,0.19168802877926205,0.0009594363866062717,0.0030436479618282807,-0.0003416078622434076,0.9999948494832226
27,27,-0.0003844652827747,0.0001391656105019674,0.1919196309085328,0.0010444536917058106,0.0027992764197330407,-0.00034225001212884025,0.9999954780062462
28,28,-0.0004058066012452165,0.00017109210680405797,0.19212971051463298,0.0011229938681963675,0.0025744567738527594,-0.00034284645590475536,0.9999959967486866
29,29,-0.0004268338972460816,0.0002037517933552349,0.19232031206193154,0.0011955203333354279,0.002367623527752059,-0.0003433983961253148,0.9999964235773572
30,30,-0.0004474271988903921,0.00023714788470087245,0.19249327983155973,0.0012624683887494793,0.002177336845775374,-0.0003439070446441021,0.999996773547681
31,31,-0.00046749156833135225,0.000271283074088266,0.1926502784144784,0.0013242461265257402,0.002002272348467946,-0.0003443741772396491,0.9999970593377088
32,32,-0.00048695324618320233,0.00030615949054323415,0.19279281096845227,0.0013812353023482892,0.0018412119987522215,-0.00034480153786267654,0.9999972916159896
33,33,-0.0005057566009878845,0.00034177884365041607,0.1929222354976034,0.0014337924839732757,0.0016930353775223813,-0.00034519119464499485,0.9999974793535044
34,34,-0.000523860413142788,0.000378145355421397,0.1930400951327976,0.0014806969620609384,0.0015567113776411865,-0.00034552665270267053,0.99999763239596
35,35,-0.0005412378973938426,0.0004152909343752066,0.19314715381875236,0.0015239580534224567,0.0014312930745451675,-0.00034583342438896525,0.9999977546730936
36,36,-0.0005578743945545054,0.0004532155698226352,0.1932444182199732,0.0015638510899772507,0.001315906123042477,-0.00034611915481612556,0.9999978514788792
37,37,-0.0005737638283688019,0.0004919186302688827,0.19333279918047933,0.0016006336505108435,0.0012097465032716065,-0.00034640334066052486,0.9999979272428721
38,38,-0.0005889100950629158,0.000531396349632799,0.19341312097307167,0.0016345554760610163,0.0011120711709908364,-0.00034678222556446366,0.9999979856320684
39,39,-0.0006033740045615794,0.0005713027429223625,0.1934861005479929,0.0016668038311445311,0.0010220439682309128,-0.0003503861134400655,0.9999980272083976
40,40,-0.0006170552503568692,0.0006083044386258742,0.19355245408536065,0.0016959277468104445,0.0009393842292656025,-0.00035065166998000935,0.9999980592129936
41,41,-0.0006300183131276992,0.0006413729634057901,0.19361278554616845,0.0017227592282135695,0.0008633376188310581,-0.0003508890220294264,0.999998081811006
42,42,-0.0006422839001116957,0.0006709066548707914,0.19366764855265992,0.0017474932952669044,0.0007933743166572199,-0.00035111385062327013,0.9999980967699093
43,43,-0.0006538732494945202,0.0006972739869281979,0.19371754579498532,0.0017702952740584546,0.0007290079203489517,-0.00035132988525362463,0.9999981055829088
44,44,-0.0006648094328505217,0.0007208052100567058,0.19376293297548014,0.0017913180818821344,0.0006697909611460442,-0.00035154050145724564,0.9999981094876498
45,45,-0.0006751169896129584,0.0007417955539613662,0.19380422323178367,0.0018107040252244792,0.0006153116744124168,-0.0003517493731232462,0.9999981095056404
46,46,-0.0006848212727757018,0.0007605090423009207,0.1938417912037008,0.0018285852269939132,0.0005651913565418838,-0.00035196037602461765,0.9999981064775532
47,47,-0.0006939482737325144,0.0007771809650406702,0.1938759766248154,0.0018450853024181836,0.0005190815681686529,-0.0003521781749635052,0.9999981010907398
48,48,-0.0007025241438918564,0.0007920214915806431,0.19390708767794887,0.0018603190853901707,0.00047666183997076934,-0.00035240759654284675,0.9999980939058218
49,49,-0.000710575237636431,0.0008052162690004057,0.19393540381434984,0.0018743958368423782,0.0004376372676505274,-0.00035265541686122566,0.99999808537218
50,50,-0.0007181276154872893,0.000816929929326784,0.1939611785402957,0.0018874183081332067,0.00040173668418746697,-0.00035292936265954284,0.9999980758484648
51,51,-0.0007252071789676935,0.0008273051855361291,0.1939846416127337,0.0018994871573180317,0.0003687106733464947,-0.00035324091330273053,0.9999980656090468
52,52,-0.000731839492114435,0.0008364653463447896,0.19400600129093415,0.001910700663489429,0.0003383298208256041,-0.00035360466013937056,0.9999980548579338
53,53,-0.0007380497154071389,0.000844512718491216,0.19402544607053165,0.0019211594279997394,0.0003103833404179419,-0.00035404160602725256,0.9999980437296742
54,54,-0.0007438625048002342,0.0008515255951511955,0.1940431461332816,0.0019309726435237638,0.0002846779989807937,-0.00035458377941964043,0.9999980322847792
